id,role,permission,resource,action,description,conditions,created_at,updated_at
bcbb423b-1dfb-44f9-b5b6-be56d60869b0,guest,read,public_content,view,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
b1bbeada-0b78-428c-bd9f-ba77af0f6017,viewer,read,yachts,view,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
c31834c2-6de9-4cd1-bc6c-f4b056fb242d,viewer,read,reports,view,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
97064019-3707-4777-8f52-a1199a5b6e5f,viewer,read,inventory,view,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
39a58702-cf4b-4978-b1a6-74f2b8897a8a,user,read,yachts,view,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
180c5265-8608-413e-8b26-7858472a28c5,user,write,yachts,update_assigned,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
3dbd972a-4827-488f-b43d-2770ce2e4f2d,user,read,inventory,view,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
c39a24ce-cf43-4fa1-a8da-d95e86daf4a6,user,write,inventory,update_assigned,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
01f48697-aef8-4f05-bdcf-5ba1ff6a87f5,user,read,reports,view,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
80cca991-b8d3-4b75-96f5-8d2240cac48f,user,write,reports,create_own,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
f81b0fe9-1acf-4415-aab9-1e770e6e2448,user,read,profile,view_own,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
3e96e83b-188f-46ac-961b-04e427e577d5,user,write,profile,update_own,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
dad28c68-3f75-4fed-a1a2-35150a4d34b5,manager,read,yachts,view_all,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
97890694-e783-4b32-8dc6-7b443be885f3,manager,write,yachts,update_all,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
0d822ee5-bcbf-4e0e-91e4-3f0b117fb616,manager,read,users,view_team,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
5fa434bd-162f-47ec-81f0-a8b9f22c1282,manager,write,users,manage_team,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
34b5f23b-8237-42d3-b7b1-fb82ad00bdfd,manager,read,inventory,view_all,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
50a97d43-ecf6-4e39-9c09-3d591e1e8c6d,manager,write,inventory,manage_team,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
61e60190-4317-4472-9b38-c274ffb9fd88,manager,read,reports,view_all,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
a4d041c9-8ab3-4419-bbc5-7c9a42149967,manager,write,reports,manage_team,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
d683b645-a404-48fd-97f5-dcf4c8727756,manager,read,analytics,view_team,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
9101cad4-d1f9-4620-9d26-c77376f42153,admin,read,users,view_all,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
317ddc97-b53a-4132-ba3f-8bb207ed77ba,admin,write,users,manage_all,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
4cce32b1-9ea7-4483-a33b-cbda4aeedee4,admin,delete,users,deactivate,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
28e329e4-bb54-4cc3-9744-75bf50ef4ceb,admin,read,system,view_config,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
ccc08230-1de8-455c-b901-455cf7bfdabb,admin,write,system,configure,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
0d8ddb19-17fa-428f-a0c3-dbfdbaecc3fa,admin,read,yachts,view_all,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
7471fb38-7c63-4719-9338-5d0c3f8cdd35,admin,write,yachts,manage_all,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
3b5782f8-2181-4508-a6ff-3c6beb8aad8e,admin,delete,yachts,delete,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
2f48d77b-b909-492e-b601-c261ad165181,admin,read,analytics,view_all,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
1c81d865-a658-464f-a9df-83c5950baa76,admin,write,roles,assign_standard,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
3cabf888-6f5b-4844-a8a0-7ab1e6be2c14,superadmin,admin,*,*,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
9ca05944-80ba-4ae4-aee3-82610e8c70fe,superadmin,read,*,*,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
8897d5e4-73fb-433b-accf-b030ebd427f0,superadmin,write,*,*,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
0d62a790-b1b6-4aaa-9545-6ecf6f23d212,superadmin,delete,*,*,,{},2025-10-12 16:14:16.54944+00,2025-10-12 16:14:16.54944+00
