id,role,permission,resource,action,description,conditions,created_at,updated_at
9c62bb3f-91f4-4b1b-a417-334f0c33a89a,guest,read,public_content,view,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
97e5bd55-387f-4afc-a711-1f68294b79be,viewer,read,yachts,view,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
c4e353d2-4a2d-42c6-92f8-05361a2c9055,viewer,read,reports,view,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
3ca0f7b8-6fff-42ae-b797-83af71b1aecd,viewer,read,inventory,view,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
eda5a0d2-6470-4c3f-b3eb-c2e34d84ab2d,user,read,yachts,view,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
c5c42db3-6ade-4b90-a02e-2ed56223357e,user,write,yachts,update_assigned,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
15580896-ae5e-4c11-8053-511a6a2003b0,user,read,inventory,view,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
1d7356af-3a07-4937-a8f2-65814a8f3901,user,write,inventory,update_assigned,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
82ee7123-4f9f-41bf-b1c3-500dc9523d15,user,read,reports,view,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
8bdf8e32-6c29-4f52-8de8-c1b1e451850d,user,write,reports,create_own,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
ab27acdc-e6b2-469a-9fb0-61edace3fdac,user,read,profile,view_own,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
4ce07efe-1f0d-4296-a7df-d7c38745a5dc,user,write,profile,update_own,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
b557e53a-08a9-4371-88b6-fe1d152e480b,manager,read,yachts,view_all,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
eb5dc561-8388-4736-9624-a7a33b734302,manager,write,yachts,update_all,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
977bd0fd-9c04-42fe-a5fe-fe8d8c4990ed,manager,read,users,view_team,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
30f40b11-7342-4261-b079-ee98180d0cd7,manager,write,users,manage_team,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
45bb6a98-c895-4b96-b640-fd775f93a74e,manager,read,inventory,view_all,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
5c4db287-d356-4faf-a863-f11a65839383,manager,write,inventory,manage_team,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
29921da6-0f9c-4bf3-aa81-7bf61c03b21f,manager,read,reports,view_all,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
7e18c45f-9e58-4ee8-8199-76fcf89fde0d,manager,write,reports,manage_team,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
76c2bd86-79f9-45b5-8949-7f92654f4515,manager,read,analytics,view_team,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
990f8406-15ec-4f90-b585-1440c77c06da,admin,read,users,view_all,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
66e9a412-b4e5-46cc-a7ca-88720e900e25,admin,write,users,manage_all,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
6740f62b-6a6e-4e3b-b6f2-86408accb754,admin,delete,users,deactivate,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
8a1eafdd-4d60-454b-8dc7-67d672b2cd46,admin,read,system,view_config,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
acc854d4-c7bd-48cd-9ad3-5449de2ea4f8,admin,write,system,configure,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
8fe29212-b3a8-4721-a2f0-adb7932457d5,admin,read,yachts,view_all,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
093d9064-0952-4a4b-8051-ed47bdc67e6b,admin,write,yachts,manage_all,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
728acee6-62cf-4d3d-a56d-7ecb96187d4c,admin,delete,yachts,delete,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
52ad211d-a94a-471a-9a52-3310dceebd5f,admin,read,analytics,view_all,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
082d5a6f-e370-41c1-a813-b15681bdd1fd,admin,write,roles,assign_standard,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
97ab8f2d-af41-40db-a995-c76ac9704477,superadmin,admin,*,*,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
881838bf-e54f-440c-bd62-bd91443cf15f,superadmin,read,*,*,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
01be360e-2add-4083-af67-4af980e07147,superadmin,write,*,*,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
11c0bc24-0b20-46ac-a6c7-dce91ae967fe,superadmin,delete,*,*,,{},2025-10-12 14:55:24.521088+00,2025-10-12 14:55:24.521088+00
